name,id,team_abb,team_id,batting_average,on_base_percentage,slugging,appearances,plate_appearances,at_bats,hits,walks,singles,doubles,triples,quadruples,home_runs,runs_batted_in,strikeouts,sacrifice_bunts,sacrifice_flies,at_bats_risp,hits_risp,batting_average_risp,on_base_slugging,total_bases,hit_by_pitches,ground_outs,flyouts,gidp,stolen_bases,caught_stealing,runs
Simon Haley,020ed630-8bae-4441-95cc-0e4ecc27253b,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.198,0.261,0.469,99,406,373,74,32,40,14,5,0,15,41,129,1,0,74,13,0.176,0.73,175,0,122,37,0,20,3,38
Bennett Browning,03097200-0d48-4236-a3d2-8bdb153aa8f7,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,1.0,1.0,1.0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,2.0,1,0,0,0,0,0,0,0
Halexandrey Walton,03b80a57-77ea-4913-9be4-7a85c3594745,TACO,878c1bf6-0d21-4659-bfee-916c8314d69c,0.263,0.316,0.576,99,571,528,139,41,81,20,10,0,28,66,75,1,0,70,23,0.329,0.892,304,0,147,157,1,2,4,76
Glabe Moon,04931546-1b4a-469f-b391-7ed67afe824c,BOS,3f8bbb15-61c0-4e3f-8e4a-907a5fb1565e,0.226,0.248,0.58,99,290,274,62,10,24,11,5,0,22,43,51,6,0,40,8,0.2,0.828,159,0,107,43,2,14,0,47
Stevenson Monstera,05bd08d5-7d9f-450b-abfa-1788b8ee8b91,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,1,0,0,0,0,0
Morrow Wilson,06ced607-7f96-41e7-a8cd-b501d11d1a7e,SPY,9debc64f-74b7-4ae1-a4d6-fce0144b6ea5,0.111,0.16,0.22,99,421,396,44,23,34,5,0,0,5,11,264,0,0,69,9,0.13,0.38,87,0,57,17,2,3,2,24
Jessica Telephone,083d09d4-7ed3-4100-b021-8fbe30dd43e8,KCBM,adc5b394-8f76-416d-9ce9-813706877b84,0.312,0.338,0.782,99,311,298,93,12,36,16,11,0,30,64,43,1,0,45,17,0.378,1.12,233,0,104,47,0,13,2,61
Don Elliott,0cc5bd39-e90d-42f9-9dd8-7e703f316436,DALE,b63be8c2-576a-4d6e-8daf-814f8bcea96f,0.198,0.255,0.435,99,400,368,73,29,46,11,1,0,15,31,121,3,0,57,7,0.123,0.69,160,0,105,60,1,4,2,38
Caleb Novak,0eddd056-9d72-4804-bd60-53144b785d5c,DALE,b63be8c2-576a-4d6e-8daf-814f8bcea96f,0.242,0.295,0.525,99,386,356,86,28,49,15,8,0,14,35,108,2,0,65,16,0.246,0.82,187,0,97,37,2,17,6,50
Helga Moreno,0eea4a48-c84b-4538-97e7-3303671934d2,LVRS,b72f3061-f573-40d7-832a-5ad475bd7909,0.225,0.283,0.514,98,360,329,74,28,40,9,17,0,8,34,80,3,0,55,14,0.255,0.797,169,0,98,69,2,16,4,22
Tamara Crankit,0f61d948-4f0c-4550-8410-ae1c7f9f5613,JAZZ,a37f9158-7f82-46bc-908c-c9e2dda7c33b,0.234,0.265,0.417,99,458,432,101,20,66,22,2,0,11,39,85,5,0,59,21,0.356,0.682,180,0,181,52,1,1,1,45
Allison Abbott,1068f44b-34a0-42d8-a92e-2be748681a6f,STK,b024e975-1c4a-4575-8936-a3754a08806a,0.221,0.251,0.493,99,351,335,74,14,33,15,16,0,10,33,99,2,0,44,12,0.273,0.744,165,0,108,46,1,4,1,41
Don Mitchell,11de4da3-8208-43ff-a1ff-0b3480a0fbf1,LVRS,b72f3061-f573-40d7-832a-5ad475bd7909,0.248,0.313,0.592,99,467,424,105,41,53,20,11,0,21,53,59,1,0,68,22,0.324,0.905,251,0,119,132,2,64,2,67
Jasmine Washington,12577256-bc4e-4955-81d6-b422d895fb12,DALE,b63be8c2-576a-4d6e-8daf-814f8bcea96f,0.203,0.265,0.481,99,321,295,60,25,32,12,3,0,13,37,75,1,0,57,12,0.211,0.746,142,0,85,60,1,3,1,42
